Rang;Produkt;Gramm;Stück;Umsatz EUR;Stück Aktion1;Stück Aktion2
138;"INVISIBLE TRESSEN #TAUPE RU GLATT";300;6;1170;1;5
139;"#COLDNESS MINI TAPE EXTENSIONS RU GLATT ♡";300;6;870;2;4
140;"#NATURAL US WELLIGE KERATIN BONDINGS SCHWARZBRAUNE 65CM ♡";300;12;572;10;2
141;"#SHINY STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";300;12;805;9;3
142;"#14A DUNKELBLOND US WELLIGE KERATIN BONDINGS DUNKELBLOND 65CM ♡";300;12;537;12;0
143;"#NAMELESS GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";300;6;1112;5;1
144;"#4A MOKKABRAUNE US WELLIGE TAPE EXTENSIONS 65CM ♡";300;12;557;8;4
145;"#BUTTER CREAM - INVISIBLE CLIP EXTENSIONS ♡ › 150g";300;2;428;2;0
146;"#EBONY - INVISIBLE CLIP EXTENSIONS - TIEFSCHWARZ ♡ › 150g";300;2;450;0;2
147;"#MOCHA MELT GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";300;6;1170;0;6
148;"#PLATIN - INVISIBLE CLIP EXTENSIONS - LIGHTBLOND ♡ › 150g";300;2;450;0;2
149;"#SMOKY BROWN - INVISIBLE CLIP EXTENSIONS ♡ › 150g";300;2;450;0;2
150;"#VANILA OMBRE - INVISIBLE CLIP EXTENSIONS ♡ › 150g";300;2;450;0;2
151;"#SILVER  45CM TAPE EXTENSIONS ♡";275;11;492;7;4
152;"#MOCHA MELT BRAUN BALAYAGE  US WELLIGE TAPE EXTENSIONS 55CM ♡";275;11;482;9;2
153;"#3T8A  US WELLIGE TAPE EXTENSIONS 55CM ♡";275;11;506;5;6
154;"#27 GOLDBLONDE  US WELLIGE TAPE EXTENSIONS 55CM ♡";275;11;506;11;0
155;"#4/27T24 45CM TAPE EXTENSIONS ♡";275;11;492;0;11
156;"#3A KÜHLES MITTELBRAUN 45CM  TAPE EXTENSIONS ♡";275;11;474;9;2
157;"#DUBAI PONYTAIL 130G - 65CM › 130 g";260;2;399;1;1
158;"#DESERT MINI TAPE EXTENSIONS OMBRE RU GLATT ♡";250;5;682;3;2
159;"#SILVER ASCHBLONDE US WELLIGE TRESSEN ECHTHAAR CLASSIC TRESSEN 65CM ♡";250;5;478;5;0
160;"INVISIBLE TRESSEN #NORVEGIAN RU GLATT ♡";250;5;936;2;3
161;"#BERGEN BLOND SANDBLOND OMRÉ US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS 65CM♡";250;5;539;2;3
162;"#2A - ASCHBRAUNE US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS♡";250;5;506;5;0
163;"INVISIBLE TRESSEN #PLATIN RU GLATT";250;5;897;4;1
164;"#CAPPUCCINO MINI TAPE EXTENSIONS RU GLATT DUNKELBLOND♡";250;5;725;5;0
165;"#MOCHA MELT BALAYAGE BRAUN US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";250;5;498;4;1
166;"#MOCHAMELT MINI TAPE EXTENSIONS ♡";250;5;725;4;1
167;"#PEARL WHITE RUSSISCHE BONDINGS GLATT 1G";250;10;725;0;10
168;"#EBONY RUSSISCHE BONDINGS GLATT 1G";250;10;725;0;10
