Rang;Produkt;Gramm;Stück;Umsatz EUR;Stück Aktion1;Stück Aktion2
95;"#NATURAL US WELLIGE KERATIN BONDINGS SCHWARZBRAUNE 65CM ♡";300;12;572;10;2
96;"#14A DUNKELBLOND US WELLIGE KERATIN BONDINGS DUNKELBLOND 65CM ♡";300;12;537;12;0
97;"#4A MOKKABRAUNE US WELLIGE TAPE EXTENSIONS 65CM ♡";300;12;557;8;4
98;"#SILVER  45CM TAPE EXTENSIONS ♡";275;11;492;7;4
99;"#MOCHA MELT BRAUN BALAYAGE  US WELLIGE TAPE EXTENSIONS 55CM ♡";275;11;482;9;2
100;"#3T8A  US WELLIGE TAPE EXTENSIONS 55CM ♡";275;11;506;5;6
101;"#27 GOLDBLONDE  US WELLIGE TAPE EXTENSIONS 55CM ♡";275;11;506;11;0
102;"#4/27T24 45CM TAPE EXTENSIONS ♡";275;11;492;0;11
103;"#3A KÜHLES MITTELBRAUN 45CM  TAPE EXTENSIONS ♡";275;11;474;9;2
104;"#DUBAI PONYTAIL 130G - 65CM › 130 g";260;2;399;1;1
105;"#SILVER ASCHBLONDE US WELLIGE TRESSEN ECHTHAAR CLASSIC TRESSEN 65CM ♡";250;5;478;5;0
106;"#BERGEN BLOND SANDBLOND OMRÉ US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS 65CM♡";250;5;539;2;3
107;"#2A - ASCHBRAUNE US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS♡";250;5;506;5;0
108;"#MOCHA MELT BALAYAGE BRAUN US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";250;5;498;4;1
109;"#MOCHAMELT MINI TAPE EXTENSIONS ♡";250;5;725;4;1
110;"#2T14A DUNKELBLOND OMBRÉ US WELLIGE TAPE EXTENSIONS 55CM ♡";225;9;411;3;6
111;"#4 SAMTBRAUN US WELLIGE KERATIN BONDINGS 65CM SAMTBRAUN ♡";225;9;403;9;0
112;"#60 PLATINBLONDE 45CM  TAPE EXTENSIONS ♡";225;9;403;9;0
113;"#DUBAI US WELLIGE TAPE EXTENSIONS 65CM ♡";225;9;413;7;2
114;"#5P18A US WELLIGE KERATIN BONDINGS ASCHIG GESTRÄHNT 65CM ♡";225;9;448;0;9
115;"#60 PLATIN US WELLIGE KERATIN BONDINGS PLATINBLOND 65CM ♡";200;8;421;3;5
116;"#3T8A US WELLIGE TRESSE ECHTHAAR CLASSIC TRESSEN 65CM ♡";200;4;368;3;1
117;"#4/27T24 REHBRAUN US WELLIGE GENIUS TRESSEN ECHTHAAR EXTENSIONS 65CM ♡";200;4;396;4;0
118;"#MOCHA MELT US WELLIGE KERATIN BONDINGS BALAYAGE BRAUN 65CM ♡";200;8;393;3;5
119;"#BERGEN BLOND US WELLIGE KERATIN BONDINGS OMBRÉ SANDBLOND 65CM ♡";200;8;393;3;5
120;"#ORANGE US WELLIGE TAPE EXTENSIONS 65CM ♡";200;8;358;8;0
121;"#RED US WELLIGE TAPE EXTENSIONS 65CM ♡";200;8;358;8;0
122;"#BERGEN BLOND SANDBLOND OMRÉ US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";200;4;398;4;0
123;"#2 SCHOKOBRAUNE 45CM TAPE EXTENSIONS  ♡";200;8;358;0;8
